Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Kilometers_Driven_Per_Year,Current_Age
651,Mercedes-Benz New C-Class C 250 CDI Avantgarde,Coimbatore,2017,25559,First,19.71,2143.0,201.15,5.0,20.89221804511278,37.93,False,False,False,3651.285714285714,7
652,Honda City ZX CVT,Chennai,2005,100000,Third,16.4,1497.0,78.0,5.0,20.89221804511278,1.96,False,True,False,5263.1578947368425,19
653,Toyota Fortuner 4x2 4 Speed AT,Jaipur,2015,94000,First,11.5,2982.0,169.0,7.0,20.89221804511278,20.5,False,False,False,10444.444444444445,9
654,Maruti Alto K10 VXI,Bangalore,2011,64357,First,24.07,998.0,67.1,5.0,4.7,2.75,False,True,True,4950.538461538462,13
655,Jaguar XJ 2.0L Portfolio,Mumbai,2017,10501,First,9.43,1999.0,237.4,5.0,20.89221804511278,75.0,False,True,False,1500.142857142857,7
656,Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,First,21.9,1396.0,90.0,5.0,20.89221804511278,2.8,False,False,True,3133.3333333333335,15
657,Honda BRV i-VTEC V CVT,Mumbai,2017,18000,First,16.0,1497.0,117.3,7.0,15.02,9.25,False,True,False,2571.4285714285716,7
658,Toyota Corolla Executive (HE),Chennai,2007,89000,First,13.4,1794.0,125.0,5.0,20.89221804511278,3.0,False,True,True,5235.294117647059,17
659,Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,49964,First,17.68,1968.0,174.33,5.0,20.89221804511278,23.89,False,False,False,4996.4,10
660,Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Mumbai,2014,35000,First,12.99,2494.0,100.6,7.0,20.89221804511278,12.75,False,False,True,3500.0,10
661,Hyundai Grand i10 CRDi Sportz,Jaipur,2014,64000,First,24.0,1120.0,70.0,5.0,20.89221804511278,4.15,False,False,True,6400.0,10
662,Volkswagen Vento IPL II Petrol Highline AT,Mumbai,2013,36000,First,14.8,1598.0,105.0,5.0,20.89221804511278,4.65,False,True,False,3272.7272727272725,11
663,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Delhi,2012,78600,First,12.8,2494.0,102.0,7.0,20.89221804511278,8.9,False,False,True,6550.0,12
664,Hyundai Verna CRDi SX,Jaipur,2008,170000,Second,16.8,1493.0,110.0,5.0,20.89221804511278,1.5,False,False,True,10625.0,16
665,Maruti Ritz VDi,Pune,2015,65000,Second,23.2,1248.0,73.94,5.0,20.89221804511278,3.27,False,False,True,7222.222222222223,9
666,Audi Q7 3.0 TDI Quattro Technology,Pune,2008,120300,Second,12.07,2967.0,241.4,7.0,20.89221804511278,18.0,False,False,False,7518.75,16
667,Hyundai i20 Asta Option 1.2,Pune,2016,21000,First,18.6,1197.0,81.83,5.0,20.89221804511278,6.3,False,True,True,2625.0,8
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,First,24.3,1248.0,88.5,5.0,12.56,11.31,False,False,True,2586.8571428571427,7
669,Honda City i VTEC S,Pune,2014,58407,First,17.4,1497.0,117.3,5.0,20.89221804511278,6.16,False,True,True,5840.7,10
670,Maruti Ciaz ZXi,Pune,2014,49500,First,20.73,1373.0,91.1,5.0,20.89221804511278,6.0,False,True,True,4950.0,10
671,Nissan Sunny XV CVT,Kochi,2013,37199,First,17.5,1498.0,99.6,5.0,11.33,5.43,False,True,False,3381.7272727272725,11
672,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,62000,First,22.07,1199.0,73.9,5.0,20.89221804511278,4.65,False,False,True,5166.666666666667,12
673,Maruti Ertiga ZDI,Hyderabad,2015,59000,First,20.77,1248.0,88.8,7.0,20.89221804511278,7.5,False,False,True,6555.555555555556,9
674,Maruti Swift Dzire VDI,Jaipur,2015,60000,First,26.59,1248.0,74.0,5.0,20.89221804511278,6.25,False,False,True,6666.666666666667,9
675,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Bangalore,2007,39037,First,14.84,2143.0,170.0,5.0,20.89221804511278,9.25,False,False,False,2296.294117647059,17
676,Honda Brio S MT,Mumbai,2013,17003,First,19.4,1198.0,86.8,5.0,20.89221804511278,3.15,False,True,True,1545.7272727272727,11
677,Hyundai i10 Magna Optional 1.1L,Hyderabad,2008,80400,First,16.0,1086.0,66.7,5.0,20.89221804511278,2.3,False,True,True,5025.0,16
678,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,75200,First,22.32,1582.0,126.32,5.0,20.89221804511278,5.25,False,False,True,6266.666666666667,12
679,Maruti Ciaz VDI SHVS,Kochi,2017,41217,First,28.09,1248.0,88.5,5.0,20.89221804511278,7.4,False,False,True,5888.142857142857,7
680,Ford Ikon 1.3 Flair,Pune,2006,98293,Second,13.8,1299.0,70.0,5.0,20.89221804511278,1.55,False,True,True,5460.722222222223,18
681,Volkswagen Polo 1.2 MPI Highline,Pune,2017,54000,Second,16.2,1199.0,74.0,5.0,20.89221804511278,6.0,False,True,True,7714.285714285715,7
682,Honda Jazz 1.2 V i VTEC,Chennai,2016,17377,First,18.7,1199.0,88.7,5.0,20.89221804511278,5.9,False,True,True,2172.125,8
683,Honda Amaze EX i-Dtech,Bangalore,2013,33800,Second,25.8,1498.0,98.6,5.0,20.89221804511278,4.7,False,False,True,3072.7272727272725,11
684,Hyundai i20 Asta 1.4 CRDi,Hyderabad,2015,86157,First,22.54,1396.0,88.73,5.0,20.89221804511278,6.5,False,False,True,9573.0,9
685,Maruti Ritz VDi,Hyderabad,2012,146824,First,21.1,1248.0,73.9,5.0,20.89221804511278,3.55,False,False,True,12235.333333333334,12
686,Honda City V MT,Chennai,2014,55000,First,16.8,1497.0,116.3,5.0,20.89221804511278,7.1,False,True,True,5500.0,10
687,Skoda Superb 1.8 TSI MT,Hyderabad,2010,53293,First,13.14,1798.0,160.0,5.0,20.89221804511278,6.0,False,True,True,3806.6428571428573,14
688,Maruti Vitara Brezza LDi Option,Pune,2017,38000,First,24.3,1248.0,88.5,5.0,20.89221804511278,7.99,False,False,True,5428.571428571428,7
689,Hyundai i20 Asta,Bangalore,2009,64000,Second,17.0,1197.0,80.0,5.0,20.89221804511278,4.1,False,True,True,4266.666666666667,15
690,Maruti Alto K10 VXI AGS,Hyderabad,2017,25058,First,24.07,998.0,67.1,5.0,20.89221804511278,3.95,False,True,False,3579.714285714286,7
691,Hyundai EON Era Plus,Kochi,2016,36700,First,21.1,814.0,55.2,5.0,20.89221804511278,4.38,False,True,True,4587.5,8
692,Hyundai i10 Sportz,Mumbai,2011,35000,First,20.36,1197.0,78.9,5.0,20.89221804511278,2.75,False,True,True,2692.3076923076924,13
693,Mercedes-Benz SLK-Class SLK 350,Coimbatore,2016,22732,First,18.1,3498.0,306.0,2.0,20.89221804511278,55.54,False,True,False,2841.5,8
694,Audi A6 2.0 TDI Design Edition,Hyderabad,2014,48000,First,18.53,1968.0,187.74,5.0,20.89221804511278,29.0,False,False,False,4800.0,10
695,Ford EcoSport 1.5 TDCi Titanium,Bangalore,2013,62084,First,22.77,1498.0,98.59,5.0,20.89221804511278,6.6,False,False,True,5644.0,11
696,Volkswagen Passat Highline DSG,Kolkata,2012,39273,First,14.3,1968.0,140.0,5.0,20.89221804511278,6.99,False,False,False,3272.75,12
697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,First,13.68,2393.0,147.8,7.0,26.45,18.75,False,False,True,9256.857142857143,7
698,Ford Figo Diesel ZXI,Jaipur,2010,100002,Third,20.0,1399.0,68.0,5.0,20.89221804511278,1.28,False,False,True,7143.0,14
699,Chevrolet Aveo 1.4,Pune,2006,78000,Third,14.49,1399.0,92.7,5.0,20.89221804511278,1.2,False,True,True,4333.333333333333,18
700,Maruti Ritz LXi,Coimbatore,2013,57717,First,18.5,1197.0,85.8,5.0,20.89221804511278,4.31,False,True,True,5247.0,11
701,Land Rover Freelander 2 SE,Chennai,2011,109000,First,12.39,2179.0,147.51,5.0,20.89221804511278,16.5,False,False,False,8384.615384615385,13
702,Hyundai Grand i10 Asta,Coimbatore,2017,74515,First,18.9,1197.0,82.0,5.0,20.89221804511278,5.64,False,True,True,10645.0,7
703,Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2017,50484,First,10.91,3198.0,197.2,7.0,20.89221804511278,31.12,False,False,False,7212.0,7
704,Audi Q5 2008-2012 2.0 TDI,Kochi,2013,13452,First,12.8,1968.0,167.6,5.0,20.89221804511278,25.46,False,False,False,1222.909090909091,11
705,Hyundai Verna 1.6 VTVT,Kochi,2017,37688,First,17.01,1591.0,121.3,5.0,20.89221804511278,7.88,False,True,True,5384.0,7
706,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Chennai,2017,34000,First,13.0,2143.0,204.0,5.0,20.89221804511278,36.0,False,False,False,4857.142857142857,7
707,Mercedes-Benz M-Class ML 350 4Matic,Pune,2014,120000,First,18.283619293712317,2987.0,165.0,5.0,20.89221804511278,30.0,False,False,False,12000.0,10
708,Maruti Swift Dzire ZXi,Pune,2008,64000,Second,17.5,1298.0,85.8,5.0,20.89221804511278,2.85,False,True,True,4000.0,16
709,Honda City 1.3 EXI S,Delhi,2011,100000,First,13.0,1343.0,90.0,5.0,20.89221804511278,3.5,False,True,True,7692.307692307692,13
710,Renault Duster 85PS Diesel RxL Optional,Jaipur,2014,75000,First,20.46,1461.0,83.8,5.0,20.89221804511278,7.5,False,False,True,7500.0,10
711,Mercedes-Benz New C-Class 220 CDI AT,Hyderabad,2012,86000,First,14.84,2143.0,170.0,5.0,20.89221804511278,19.0,False,False,False,7166.666666666667,12
712,BMW X5 xDrive 30d Design Pure Experience 5 Seater,Hyderabad,2015,69000,First,15.97,2993.0,258.0,5.0,20.89221804511278,54.0,False,False,False,7666.666666666667,9
713,Hyundai Xcent 1.2 Kappa SX Option,Kochi,2015,41721,First,19.1,1197.0,82.0,5.0,20.89221804511278,4.7,False,True,True,4635.666666666667,9
714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,First,22.0,1197.0,81.8,5.0,10.34,8.5,False,True,False,1857.142857142857,7
715,BMW 3 Series 320d Corporate Edition,Kolkata,2013,38998,First,16.07,1995.0,181.0,4.0,20.89221804511278,17.0,False,False,False,3545.2727272727275,11
716,Maruti Alto 800 LXI,Kochi,2017,54250,First,22.74,796.0,47.3,5.0,20.89221804511278,3.51,False,True,True,7750.0,7
717,Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2013,45979,Second,17.11,1968.0,174.33,5.0,20.89221804511278,19.5,False,False,False,4179.909090909091,11
718,Mini Cooper S,Pune,2012,37000,Second,13.6,1598.0,181.0,4.0,20.89221804511278,17.0,False,True,False,3083.3333333333335,12
719,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,46983,Second,12.07,2967.0,241.4,7.0,20.89221804511278,43.35,False,False,False,5220.333333333333,9
720,Chevrolet Beat Diesel LT,Bangalore,2012,40700,First,25.44,936.0,57.6,5.0,20.89221804511278,2.65,False,False,True,3391.6666666666665,12
721,Maruti Wagon R LXI BS IV,Kochi,2015,43828,First,20.51,998.0,67.04,5.0,20.89221804511278,3.52,False,True,True,4869.777777777777,9
722,Nissan Terrano XV Premium 110 PS,Kolkata,2016,53000,First,19.01,1461.0,108.5,5.0,20.89221804511278,6.25,False,False,True,6625.0,8
723,BMW 3 Series 320d Luxury Plus,Ahmedabad,2015,100000,First,18.88,1995.0,184.0,5.0,20.89221804511278,24.75,False,False,False,11111.111111111111,9
724,Maruti Swift Dzire VXI,Mumbai,2015,19000,First,20.85,1197.0,83.14,5.0,20.89221804511278,5.25,False,True,True,2111.1111111111113,9
725,Skoda Yeti Elegance 4X2,Jaipur,2016,84000,First,17.72,1968.0,108.5,5.0,20.89221804511278,11.0,False,False,True,10500.0,8
726,Ford EcoSport 1.5 Ti VCT AT Titanium,Kochi,2018,37630,First,15.63,1499.0,110.4,5.0,20.89221804511278,9.1,False,True,False,6271.666666666667,6
727,Hyundai i20 1.2 Magna,Chennai,2010,67714,First,18.5,1197.0,80.0,5.0,20.89221804511278,3.25,False,True,True,4836.714285714285,14
728,Maruti S Cross DDiS 200 Sigma Option,Pune,2017,32000,First,15.0,1248.0,88.5,5.0,20.89221804511278,8.5,False,False,True,4571.428571428572,7
729,Hyundai Verna Transform VTVT,Pune,2010,51000,First,16.2,1599.0,103.2,5.0,20.89221804511278,3.1,False,True,True,3642.8571428571427,14
730,BMW 3 Series 320d Luxury Line,Kochi,2015,58390,First,18.88,1995.0,184.0,5.0,20.89221804511278,19.86,False,False,False,6487.777777777777,9
731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,First,24.0,1186.0,73.97,5.0,7.46,4.9,False,False,True,2000.0,7
732,Honda City i-VTEC V,Delhi,2014,55818,Second,17.4,1497.0,117.3,5.0,11.85,5.7,False,True,True,5581.8,10
733,Maruti Swift 1.3 VXi,Chennai,2006,97800,Third,16.1,1631.552572706935,113.80314403717087,5.0,20.89221804511278,1.75,False,True,True,5433.333333333333,18
734,Maruti Swift VDI BSIV,Kolkata,2012,52241,First,25.2,1248.0,74.0,5.0,20.89221804511278,2.9,False,False,True,4353.416666666667,12
735,Maruti Baleno Zeta 1.3,Coimbatore,2018,25433,First,27.39,1248.0,74.0,5.0,20.89221804511278,7.83,False,False,True,4238.833333333333,6
736,Tata Safari Storme 2012-2015 LX,Kochi,2015,40611,First,14.0,2179.0,138.1,7.0,20.89221804511278,8.15,False,False,True,4512.333333333333,9
737,Hyundai Accent GLS,Bangalore,2008,72000,Second,13.2,1495.0,94.0,5.0,20.89221804511278,2.0,False,True,True,4500.0,16
738,Maruti Swift LDI SP Limited Edition,Hyderabad,2016,54631,First,25.2,1248.0,74.0,5.0,20.89221804511278,6.25,False,False,True,6828.875,8
740,Tata Nano XTA,Coimbatore,2016,24941,First,21.9,624.0,37.48,4.0,20.89221804511278,3.19,False,True,False,3117.625,8
741,Maruti Ertiga VDI,Ahmedabad,2017,63939,First,25.47,1248.0,88.5,7.0,10.41,7.75,False,False,True,9134.142857142857,7
742,Maruti Celerio VXI AMT,Delhi,2014,35214,Second,23.1,998.0,67.04,5.0,5.57,3.2,False,True,False,3521.4,10
743,Maruti Swift VDI BSIV,Delhi,2015,63000,First,25.2,1248.0,74.0,5.0,20.89221804511278,4.9,False,False,True,7000.0,9
744,Volkswagen Vento Petrol Highline,Kochi,2012,121377,First,15.04,1598.0,103.6,5.0,20.89221804511278,3.8,False,True,True,10114.75,12
745,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Chennai,2009,100970,First,15.5,1896.0,105.0,5.0,20.89221804511278,4.0,False,False,False,6731.333333333333,15
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Second,20.7,1496.0,113.98,5.0,42.48,23.5,False,False,False,6000.0,10
747,Tata Indica V2 DLS,Chennai,2008,77650,First,17.2,1396.0,53.5,5.0,20.89221804511278,1.15,False,False,True,4853.125,16
749,Land Rover Range Rover 3.0 D,Mumbai,2008,55001,Second,18.283619293712317,1631.552572706935,113.80314403717087,5.0,20.89221804511278,26.5,False,False,False,3437.5625,16
750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,First,18.0,1497.0,117.3,5.0,16.04,10.65,False,True,False,2106.1111111111113,9
751,Jaguar XF 2.2 Litre Luxury,Coimbatore,2016,47877,First,16.36,2179.0,187.7,5.0,20.89221804511278,35.68,False,False,False,5984.625,8
752,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Kochi,2017,43368,First,15.0,2143.0,204.0,5.0,20.89221804511278,31.94,False,False,False,6195.428571428572,7
753,Chevrolet Cruze LTZ,Chennai,2011,73000,Third,18.3,1991.0,147.9,5.0,20.89221804511278,4.2,False,False,True,5615.384615384615,13
754,Mahindra XUV500 W8 2WD,Ahmedabad,2015,72007,First,15.1,2179.0,140.0,7.0,20.89221804511278,9.9,False,False,True,8000.777777777777,9
755,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Kochi,2014,56778,First,11.74,1796.0,186.0,5.0,20.89221804511278,15.46,False,True,False,5677.8,10
756,Honda Jazz VX,Kochi,2018,20024,First,18.2,1199.0,88.7,5.0,9.1,8.46,False,True,True,3337.3333333333335,6
757,Toyota Etios G,Kolkata,2013,42103,First,16.78,1496.0,88.73,5.0,20.89221804511278,3.25,False,True,True,3827.5454545454545,11
758,Maruti Alto LXi BSIII,Hyderabad,2012,67147,First,19.7,796.0,46.3,5.0,20.89221804511278,2.6,False,True,True,5595.583333333333,12
759,Maruti Swift VXI BSIV,Coimbatore,2016,37806,First,20.4,1197.0,81.8,5.0,20.89221804511278,5.2,False,True,True,4725.75,8
760,Maruti A-Star Vxi,Pune,2009,85000,Third,19.0,998.0,66.1,5.0,20.89221804511278,1.8,False,True,True,5666.666666666667,15
761,Tata Nano Lx BSIV,Chennai,2011,35000,First,25.4,624.0,37.48,4.0,20.89221804511278,1.6,False,True,True,2692.3076923076924,13
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,First,25.5,1498.0,99.0,5.0,7.65,2.5,False,False,True,8003.888888888889,9
763,Fiat Linea Emotion,Jaipur,2011,48500,First,16.0,1368.0,90.0,5.0,20.89221804511278,2.5,False,True,True,3730.769230769231,13
764,Ford Figo Aspire 1.2 Ti-VCT Trend,Coimbatore,2017,28854,First,18.16,1196.0,86.8,5.0,20.89221804511278,6.7,False,True,True,4122.0,7
765,Maruti Baleno LXI,Hyderabad,2005,92450,First,15.4,1590.0,94.0,5.0,20.89221804511278,1.2,False,True,True,4865.789473684211,19
766,BMW 3 Series 320d Luxury Line,Coimbatore,2016,14351,First,18.88,1995.0,184.0,5.0,20.89221804511278,35.55,False,False,False,1793.875,8
767,Chevrolet Cruze LTZ,Jaipur,2017,51087,First,17.9,1998.0,163.7,5.0,20.89221804511278,7.75,False,False,True,7298.142857142857,7
768,Mahindra Scorpio 2.6 DX,Chennai,2005,50000,First,12.7,2609.0,116.6,8.0,20.89221804511278,1.94,False,False,True,2631.5789473684213,19
769,Tata Indica V2 eLS,Hyderabad,2016,73000,First,25.0,1396.0,69.0,5.0,20.89221804511278,2.2,False,False,True,9125.0,8
770,Chevrolet Cruze LTZ AT,Ahmedabad,2011,60000,First,18.1,1991.0,147.9,4.0,20.89221804511278,3.8,False,False,False,4615.384615384615,13
771,Toyota Innova 2.5 V Diesel 8-seater,Chennai,2016,50000,First,12.8,2494.0,102.0,8.0,20.89221804511278,15.65,False,False,True,6250.0,8
772,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,36797,First,19.27,2143.0,167.62,5.0,20.89221804511278,39.47,False,False,False,6132.833333333333,6
773,Maruti Ritz VXi,Kolkata,2011,50000,Second,18.5,1197.0,85.8,5.0,20.89221804511278,1.5,False,True,True,3846.153846153846,13
774,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Ahmedabad,2013,94000,First,12.8,2494.0,102.0,8.0,20.89221804511278,8.85,False,False,True,8545.454545454546,11
775,Toyota Fortuner 4x4 MT,Bangalore,2013,74000,Second,12.55,2982.0,168.5,7.0,20.89221804511278,17.9,False,False,True,6727.272727272727,11
776,Hyundai i10 Sportz AT,Coimbatore,2014,41016,Second,16.95,1197.0,78.9,5.0,20.89221804511278,5.08,False,True,False,4101.6,10
777,Hyundai Verna 1.6 SX,Bangalore,2012,67000,First,22.32,1582.0,126.32,5.0,20.89221804511278,6.25,False,False,True,5583.333333333333,12
778,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Bangalore,2015,76927,First,15.73,1968.0,174.33,5.0,20.89221804511278,22.75,False,False,False,8547.444444444445,9
779,Chevrolet Beat LS,Kolkata,2010,17088,First,18.6,1199.0,79.4,5.0,20.89221804511278,1.46,False,True,True,1220.5714285714287,14
780,Ford Fiesta 1.4 Duratorq ZXI,Pune,2007,112808,Second,17.8,1399.0,68.0,5.0,20.89221804511278,2.05,False,False,True,6635.764705882353,17
781,Ford Figo Diesel EXI,Coimbatore,2014,74980,First,20.0,1399.0,68.0,5.0,20.89221804511278,4.08,False,False,True,7498.0,10
782,Maruti Celerio VXI AT,Hyderabad,2014,44600,First,23.1,998.0,67.04,5.0,20.89221804511278,4.55,False,True,False,4460.0,10
783,Mercedes-Benz A Class A180 CDI,Mumbai,2013,37000,First,20.0,2143.0,107.3,5.0,20.89221804511278,14.0,False,False,False,3363.6363636363635,11
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,First,15.8,1591.0,121.3,5.0,13.74,10.9,False,True,True,2625.0,8
785,Maruti Wagon R VXI BS IV,Bangalore,2010,81245,First,18.9,998.0,67.1,5.0,20.89221804511278,2.45,False,True,True,5803.214285714285,14
786,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Delhi,2013,70000,First,10.0,2148.0,170.0,5.0,20.89221804511278,15.8,False,False,False,6363.636363636364,11
787,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,4018,First,18.88,1499.0,110.4,5.0,20.89221804511278,8.25,False,True,True,574.0,7
788,Renault Koleos 2.0 Diesel,Delhi,2013,70000,Second,13.73,1995.0,148.0,5.0,20.89221804511278,8.5,False,False,False,6363.636363636364,11
789,Mahindra XUV500 W10 2WD,Coimbatore,2016,56532,First,16.0,2179.0,140.0,7.0,20.89221804511278,15.54,False,False,True,7066.5,8
790,Maruti Omni E 8 Str STD,Hyderabad,2013,26875,First,16.8,796.0,34.2,8.0,20.89221804511278,2.35,False,True,True,2443.181818181818,11
791,Maruti Wagon R VXI,Coimbatore,2015,72599,First,22.5,998.0,67.04,5.0,5.72,4.32,False,True,True,8066.555555555556,9
792,Ford Endeavour XLT TDCi 4X2,Jaipur,2008,205000,Second,13.1,2499.0,141.0,7.0,20.89221804511278,3.9,False,False,True,12812.5,16
793,Hyundai Verna 1.6 SX,Hyderabad,2011,98000,Second,22.32,1582.0,126.32,5.0,20.89221804511278,5.2,False,False,True,7538.461538461538,13
794,Hyundai i20 Magna 1.2,Mumbai,2018,19500,First,18.6,1197.0,81.83,5.0,20.89221804511278,5.85,False,True,True,3250.0,6
795,Maruti Ertiga ZXI,Bangalore,2013,68000,Second,16.02,1373.0,93.7,7.0,20.89221804511278,6.25,False,True,True,6181.818181818182,11
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,First,14.0,2179.0,155.0,7.0,21.33,17.63,False,False,False,3930.8,5
797,Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,2017,26000,First,23.65,1248.0,88.5,5.0,20.89221804511278,9.75,False,False,True,3714.285714285714,7
798,Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,10000,First,18.1,3498.0,306.0,2.0,20.89221804511278,55.0,False,True,False,1111.111111111111,9
799,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2011,75020,First,22.07,1199.0,73.9,5.0,20.89221804511278,4.1,False,False,True,5770.7692307692305,13
800,Toyota Fortuner 4x4 MT,Hyderabad,2011,157000,First,12.55,2982.0,168.5,7.0,20.89221804511278,11.99,False,False,True,12076.923076923076,13
801,Mahindra XUV500 W10 2WD,Kochi,2017,43773,First,16.0,2179.0,140.0,7.0,20.89221804511278,13.54,False,False,True,6253.285714285715,7
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,17.9,2143.0,201.15,5.0,78.76,56.0,False,False,False,2625.0,8
803,Honda Jazz 1.2 VX i VTEC,Chennai,2016,23280,First,18.7,1199.0,88.7,5.0,20.89221804511278,6.5,False,True,True,2910.0,8
804,Maruti Swift Dzire VDI,Pune,2013,88000,First,23.4,1248.0,74.0,5.0,20.89221804511278,4.75,False,False,True,8000.0,11
805,Hyundai Verna 1.6 SX VTVT,Hyderabad,2014,67000,First,17.01,1591.0,121.3,5.0,20.89221804511278,5.6,False,True,True,6700.0,10
806,Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,59636,First,10.91,3198.0,197.0,7.0,20.89221804511278,29.2,False,False,False,8519.42857142857,7
807,Hyundai i20 1.2 Asta Option,Kolkata,2018,11000,First,18.6,1197.0,81.83,5.0,20.89221804511278,6.35,False,True,True,1833.3333333333333,6
808,Honda City 1.5 V MT Sunroof,Mumbai,2013,60669,First,16.8,1497.0,116.3,5.0,20.89221804511278,4.95,False,True,True,5515.363636363636,11
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,First,27.4,1498.0,98.6,5.0,10.34,8.5,False,False,True,2000.0,6
810,Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,35000,First,17.1,1591.0,121.3,5.0,20.89221804511278,4.5,False,True,True,3181.818181818182,11
811,Honda Mobilio S i DTEC,Chennai,2015,65000,First,24.2,1498.0,98.6,7.0,20.89221804511278,5.5,False,False,True,7222.222222222223,9
812,Maruti Ertiga ZDI,Kochi,2013,39929,First,20.77,1248.0,88.8,7.0,20.89221804511278,6.56,False,False,True,3629.909090909091,11
813,Maruti Alto K10 LXI,Pune,2014,49000,First,24.07,998.0,67.1,5.0,4.29,2.3,False,True,True,4900.0,10
814,Toyota Qualis FS B2,Pune,2004,77757,Second,13.1,2446.0,75.0,10.0,20.89221804511278,3.5,False,False,True,3887.85,20
815,Hyundai i10 Sportz,Kochi,2016,21456,First,20.36,1197.0,78.9,5.0,20.89221804511278,4.55,False,True,True,2682.0,8
816,Skoda Laura 1.9 TDI AT Ambiente,Bangalore,2009,74000,Second,17.0,1896.0,105.0,5.0,20.89221804511278,7.75,False,False,False,4933.333333333333,15
817,Hyundai i20 Asta Option 1.2,Mumbai,2015,37000,Second,18.6,1197.0,81.83,5.0,20.89221804511278,5.25,False,True,True,4111.111111111111,9
818,BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,First,11.5,2993.0,235.0,5.0,20.89221804511278,23.29,False,False,False,9876.363636363636,11
819,BMW 3 Series 320d M Sport,Mumbai,2016,38000,First,22.69,1995.0,190.0,5.0,20.89221804511278,23.99,False,False,False,4750.0,8
820,Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,First,14.49,1399.0,92.7,5.0,20.89221804511278,1.79,False,True,True,5714.285714285715,14
821,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mumbai,2011,47000,Second,14.21,2143.0,203.0,5.0,20.89221804511278,13.9,False,False,False,3615.3846153846152,13
822,Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,First,17.68,1968.0,174.33,5.0,20.89221804511278,18.95,False,False,False,2818.181818181818,11
823,Maruti Wagon R LXI BS IV,Kolkata,2014,40000,First,20.51,998.0,67.04,5.0,20.89221804511278,2.49,False,True,True,4000.0,10
824,Renault KWID RXT,Jaipur,2016,4152,First,25.17,799.0,53.3,5.0,20.89221804511278,3.15,False,True,True,519.0,8
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,21.66,1498.0,108.62,5.0,10.04,6.45,False,False,True,7285.714285714285,7
826,Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,First,22.07,1199.0,73.9,5.0,20.89221804511278,4.25,False,False,True,5000.0,11
827,Maruti Alto 800 LXI,Hyderabad,2014,58500,First,22.74,796.0,47.3,5.0,20.89221804511278,2.75,False,True,True,5850.0,10
828,Hyundai i20 Asta Option 1.2,Kochi,2017,58620,First,18.6,1197.0,81.83,5.0,20.89221804511278,7.14,False,True,True,8374.285714285714,7
830,Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Third,17.0,1197.0,80.0,5.0,20.89221804511278,3.5,False,True,True,5931.0,12
831,Hyundai i20 1.4 Asta,Chennai,2017,12000,First,22.54,1396.0,88.73,5.0,20.89221804511278,7.3,False,False,True,1714.2857142857142,7
